pa,fp,fr,fnl,tempo
1.8077611940298508,0.26,0.9,-0.02,298003
1.8079411764705882,0.26,0.9,-0.02,298251
1.8040298507462686,0.26,0.9,-0.02,298502
1.81,0.26,0.9,-0.02,298750
1.8017647058823532,0.26,0.9,-0.02,299001
1.81,0.26,0.9,-0.02,299252
1.81,0.26,0.9,-0.02,299500
14.507205882352942,0.2735294117647059,0.23411764705882354,0.07705882352941176,299751
4.9128358208955225,0.41074626865671643,0.28014925373134325,-0.005671641791044776,300003
2.8004411764705885,0.4780882352941176,0.6023529411764706,-0.061911764705882354,300250
1.761764705882353,0.39,0.73,-0.02,300501
1.7614925373134327,0.39,0.7238805970149254,-0.02,300752
1.8705882352941177,0.4023529411764706,0.7111764705882353,-0.014558823529411765,301000
5.075735294117647,0.35205882352941176,0.4463235294117647,0.0713235294117647,301251
18.721940298507462,0.4680597014925373,0.09,-0.004029850746268657,301502
19.925882352941176,0.4614705882352941,0.08249999999999999,0.0023529411764705885,301750
52.30132352941176,0.743235294117647,-0.07485294117647058,0.025294117647058825,302001
60.873283582089556,0.8858208955223881,-0.14985074626865674,0.0037313432835820895,302252
72.83735294117646,0.9417647058823531,-0.15058823529411766,-0.010294117647058825,302500
58.89194029850746,0.9343283582089552,-0.1619402985074627,-0.012835820895522388,302752
53.71764705882353,0.8720588235294118,-0.15367647058823528,0.005294117647058823,303000
61.81000000000001,0.8952238805970149,-0.15253731343283583,0.0017910447761194028,303252
57.51470588235294,0.9451470588235293,-0.1647058823529412,-0.018088235294117648,303500
58.02268656716418,0.904179104477612,-0.15701492537313433,-0.0029850746268656712,303752
46.65,0.8927941176470588,-0.16176470588235295,-0.005588235294117647,304000
47.63671641791044,0.9017910447761194,-0.1664179104477612,-0.00791044776119403,304252
46.50632352941176,0.8945588235294117,-0.16397058823529412,-0.0051470588235294126,304501
55.66223880597015,0.8829850746268657,-0.1537313432835821,0.002835820895522388,304753
62.10441176470589,0.9266176470588237,-0.15602941176470586,-0.009705882352941177,305001
46.913283582089555,0.8934328358208955,-0.1637313432835821,-0.004626865671641791,305253
48.61205882352941,0.8661764705882353,-0.15823529411764706,0.004411764705882353,305501
67.47805970149254,0.8962686567164179,-0.14761194029850747,0.0016417910447761193,305753
67.41470588235293,0.9188235294117648,-0.15176470588235294,-0.0051470588235294126,306001
75.5110447761194,0.9194029850746269,-0.14522388059701494,-0.003432835820895523,306253
60.4325,0.9176470588235294,-0.15661764705882353,-0.012352941176470587,306501
61.51791044776119,0.8962686567164179,-0.15253731343283583,-0.00014925373134328377,306753
76.96691176470588,0.8851470588235294,-0.13794117647058823,0.00926470588235294,307001
79.49223880597015,0.9182089552238807,-0.14223880597014926,-0.0002985074626865673,307253
98.94882352941175,0.8072058823529412,-0.1675,0.004852941176470589,307501
100.63925373134329,0.9397014925373135,-0.1801492537313433,-0.00582089552238806,307753
94.67397058823529,0.9323529411764706,-0.16941176470588235,-0.003823529411764706,308001
95.46597014925374,0.9380597014925374,-0.16835820895522388,-0.007164179104477612,308253
94.57352941176471,0.9185294117647059,-0.16691176470588234,0.0023529411764705885,308501
78.69089552238806,0.9655223880597015,-0.19402985074626866,-0.020447761194029853,308753
64.6465671641791,0.8570149253731344,-0.18313432835820895,-0.0014925373134328358,309002
75.55470588235295,0.7817647058823529,-0.16058823529411764,0.001911764705882353,309250
74.42626865671643,0.8388059701492536,-0.17313432835820894,-0.010298507462686568,309502
99.62779411764706,0.8610294117647058,-0.15058823529411766,0.008382352941176471,309750
91.49567164179105,0.9226865671641791,-0.16746268656716418,-0.01373134328358209,310001
92.53544117647058,0.905,-0.16279411764705884,-0.011764705882352941,310250
68.46940298507462,0.855820895522388,-0.17611940298507464,-0.00791044776119403,310502
76.33955882352942,0.8727941176470588,-0.17220588235294118,-0.005735294117647059,310750
67.6589552238806,0.8595522388059701,-0.17746268656716419,-0.004925373134328359,311002
69.75147058823529,0.8335294117647059,-0.16955882352941176,-0.0022058823529411764,311250
75.94029850746269,0.8208955223880597,-0.16776119402985076,-0.012089552238805971,311502
75.03573529411766,0.8744117647058823,-0.17397058823529413,-0.005735294117647059,311750
68.81507462686567,0.8491044776119403,-0.17522388059701494,-0.00582089552238806,312002
67.0539705882353,0.8598529411764706,-0.17941176470588235,-0.006911764705882353,312251
65.90537313432836,0.856865671641791,-0.18,-0.006417910447761194,312503
74.4445588235294,0.8723529411764706,-0.17470588235294118,-0.004411764705882353,312751
66.52477611940299,0.8582089552238806,-0.18,-0.007164179104477612,313003
68.83955223880596,0.8238805970149253,-0.17134328358208956,-0.0026865671641791043,313252
70.68308823529412,0.8525,-0.17661764705882352,-0.009558823529411765,313500
75.36746268656717,0.8723880597014926,-0.1738805970149254,-0.0050746268656716425,313752
66.62426470588235,0.8591176470588235,-0.18073529411764705,-0.006764705882352942,314000
66.43910447761193,0.8549253731343284,-0.17940298507462685,-0.006119402985074627,314252
67.5095588235294,0.8435294117647059,-0.17544117647058824,-0.005294117647058823,314500
75.53597014925373,0.8655223880597015,-0.1717910447761194,-0.0037313432835820895,314752
68.01691176470588,0.8591176470588235,-0.18,-0.00823529411764706,315001
66.05940298507463,0.858955223880597,-0.18,-0.008208955223880599,315253
65.51701492537313,0.8505970149253732,-0.17940298507462685,-0.005671641791044776,315501
76.36,0.8723529411764706,-0.17279411764705882,-0.003088235294117647,315750
67.10059701492537,0.8522388059701492,-0.17776119402985074,-0.007014925373134329,316002
68.59308823529412,0.8580882352941177,-0.18,-0.006764705882352942,316250
68.68567164179103,0.8641791044776119,-0.17850746268656714,-0.006716417910447761,316502
77.61382352941176,0.8767647058823529,-0.17205882352941176,-0.0024999999999999996,316751
86.32477611940298,0.8497014925373134,-0.15925373134328358,0.004626865671641791,317002
87.92514705882353,0.9057352941176471,-0.16617647058823531,-0.01088235294117647,317250
75.5397014925373,0.8656716417910447,-0.1708955223880597,-0.00880597014925373,317502
70.47882352941177,0.9211764705882353,-0.1625,-0.010588235294117647,317751
59.15701492537313,0.9117910447761195,-0.15671641791044777,-0.007462686567164179,318002
57.73441176470588,0.9070588235294118,-0.1586764705882353,-0.005441176470588235,318251
57.7710447761194,0.9052238805970149,-0.15865671641791046,-0.004328358208955224,318503
71.23970588235295,0.9033823529411764,-0.14558823529411766,0.002205882352941177,318751
58.37044776119403,0.923134328358209,-0.1608955223880597,-0.01,319003
58.29358208955224,0.9097014925373135,-0.1574626865671642,-0.0050746268656716425,319251
57.54117647058824,0.9014705882352941,-0.15794117647058825,-0.0029411764705882353,319500
73.80298507462687,0.9229850746268657,-0.14671641791044776,-0.003432835820895522,319752
57.627794117647056,0.9082352941176471,-0.15808823529411764,-0.006176470588235294,320000
57.57611940298507,0.9073134328358209,-0.16,-0.006119402985074627,320252
56.975,0.9033823529411764,-0.15926470588235295,-0.004411764705882353,320500
67.9276119402985,0.8992537313432836,-0.14820895522388058,0.0019402985074626867,320752
58.62676470588235,0.9229411764705882,-0.16088235294117648,-0.010735294117647058,321001
57.56462686567164,0.904179104477612,-0.15731343283582092,-0.0050746268656716425,321253
57.958970588235296,0.9088235294117648,-0.15838235294117647,-0.0048529411764705885,321501
66.11940298507463,0.9108955223880597,-0.15134328358208957,-0.002238805970149254,321753
58.78014705882353,0.9077941176470589,-0.15647058823529414,-0.0051470588235294126,322001
58.270746268656715,0.9049253731343284,-0.1565671641791045,-0.004477611940298508,322253
57.575223880597015,0.9001492537313434,-0.15731343283582092,-0.0026865671641791043,322501
67.47191176470588,0.9194117647058824,-0.15161764705882352,-0.005294117647058823,322750
57.349402985074626,0.9074626865671642,-0.15985074626865672,-0.00626865671641791,323002
59.462941176470586,0.9052941176470588,-0.15558823529411764,-0.004411764705882353,323250
61.45298507462687,0.8853731343283582,-0.151044776119403,0.004328358208955224,323502
84.02029411764705,0.9189705882352941,-0.14073529411764707,0.001323529411764706,323750
68.5520895522388,0.9502985074626866,-0.15611940298507465,-0.01582089552238806,324002
71.82823529411765,0.8995588235294117,-0.1436764705882353,0.0022058823529411764,324250
63.16835820895522,0.9122388059701492,-0.15358208955223882,-0.007611940298507463,324502
73.58382352941176,0.9269117647058823,-0.14882352941176472,-0.005588235294117647,324750
58.45820895522388,0.9105970149253733,-0.15850746268656718,-0.00626865671641791,325002
57.9339705882353,0.9070588235294118,-0.15838235294117647,-0.005441176470588235,325250
56.71268656716418,0.9064179104477612,-0.15955223880597014,-0.0055223880597014925,325502
66.21985294117647,0.9119117647058823,-0.1523529411764706,-0.0022058823529411764,325751
56.399104477611935,0.9080597014925373,-0.15970149253731344,-0.006567164179104477,326003
57.07558823529411,0.9038235294117647,-0.15823529411764706,-0.004264705882352941,326251
57.40940298507462,0.9073134328358209,-0.15835820895522387,-0.0055223880597014925,326503
65.78220588235294,0.9130882352941176,-0.15147058823529413,-0.0025,326751
56.7020895522388,0.9067164179104478,-0.16,-0.006119402985074627,327003
57.00179104477612,0.9058208955223881,-0.15865671641791046,-0.004776119402985075,327251
57.898823529411764,0.9045588235294117,-0.15779411764705883,-0.003970588235294118,327500
65.71388059701492,0.9097014925373135,-0.15134328358208957,-0.0019402985074626867,327752
57.313676470588234,0.9105882352941177,-0.15823529411764706,-0.006029411764705883,328000
57.1489552238806,0.9085074626865672,-0.1582089552238806,-0.005970149253731343,328252
56.73132352941177,0.905,-0.15808823529411764,-0.004411764705882353,328500
65.16582089552239,0.9053731343283583,-0.15059701492537314,-0.00029850746268656733,328752
55.75985294117647,0.9236764705882353,-0.16205882352941176,-0.012352941176470587,329001
50.81686567164179,0.9007462686567165,-0.1608955223880597,-0.006417910447761194,329253
50.35537313432836,0.8992537313432836,-0.16149253731343283,-0.006119402985074627,329501
58.866470588235295,0.8901470588235294,-0.15250000000000002,0.002205882352941177,329750
51.46850746268657,0.9162686567164179,-0.16343283582089554,-0.011343283582089553,330001
50.41220588235294,0.8985294117647059,-0.16147058823529412,-0.005,330250
50.20805970149254,0.8970149253731343,-0.16029850746268656,-0.005373134328358209,330502
28.221029411764704,0.8619117647058824,0.12794117647058822,-0.10823529411764707,330750
1.8953731343283584,0.2694029850746269,0.8938805970149254,-0.03164179104477612,331002
1.806029411764706,0.25779411764705884,0.9,-0.02,331250
1.81,0.26,0.9,-0.02,331501
1.81,0.26,0.9,-0.02,331753
1.81,0.26,0.9,-0.02,332000
1.8061764705882355,0.26,0.9,-0.02,332251
1.81,0.26,0.9,-0.02,332503
1.81,0.26,0.9,-0.02,332750
1.81,0.26,0.9,-0.02,333002
1.81,0.2586567164179105,0.9,-0.02,333253
1.81,0.2585294117647059,0.9,-0.02,333501
1.81,0.26,0.9,-0.02,333752
1.81,0.26,0.9,-0.02,334003
1.81,0.26,0.9,-0.02,334251
1.81,0.26,0.9,-0.02,334502
1.81,0.26,0.9,-0.02,334750
1.81,0.26,0.9,-0.02,335001
1.8107462686567166,0.26,0.9,-0.02,335252
1.81,0.26,0.9,-0.02,335500
1.810735294117647,0.25779411764705884,0.9,-0.02,335751
1.8128358208955224,0.25985074626865673,0.9,-0.02,336002
1.8108823529411764,0.26,0.9,-0.02,336250
1.81,0.26,0.9,-0.02,336501
1.8138805970149254,0.26,0.9,-0.02,336752
1.813235294117647,0.26,0.9,-0.02,337000
1.8108823529411764,0.26,0.9,-0.02,337251
1.8117910447761194,0.26,0.9,-0.02,337502
1.81,0.26,0.9,-0.02,337750
1.81,0.26,0.9,-0.02,338001
1.81,0.26,0.9,-0.02,338253
1.808529411764706,0.2585294117647059,0.9,-0.02,338500
1.8113235294117647,0.26,0.9,-0.02,338752
7.98776119402985,0.30014925373134327,0.2592537313432836,0.01835820895522388,339003
2.142352941176471,0.4660294117647059,0.6354411764705883,-0.031029411764705882,339250
1.9545588235294118,0.4455882352941177,0.661029411764706,-0.02,339502
1.9017910447761193,0.43537313432835817,0.67,-0.02,339753
1.9291176470588236,0.41602941176470587,0.6358823529411765,-0.00926470588235294,340000
5.732352941176471,0.3351470588235294,0.21352941176470588,0.04308823529411765,340252
10.854626865671642,0.42820895522388064,0.09522388059701492,-0.006417910447761194,340503
20.920294117647057,0.4527941176470588,0.015588235294117648,-0.011470588235294118,340750
10.97264705882353,0.4505882352941177,0.09382352941176471,-0.032058823529411765,341001
10.845373134328359,0.42925373134328354,0.09358208955223882,-0.012985074626865671,341252
10.453382352941176,0.4325,0.09661764705882353,-0.019411764705882354,341500
12.574705882352943,0.43029411764705877,0.07279411764705883,-0.01735294117647059,341751
11.026567164179104,0.44,0.09074626865671642,-0.018059701492537314,342002
10.217647058823529,0.43558823529411766,0.10308823529411766,-0.016764705882352942,342250
11.161470588235295,0.43058823529411766,0.0888235294117647,-0.01735294117647059,342501
11.25,0.41205882352941176,0.08558823529411765,-0.005294117647058823,342752
10.80865671641791,0.4571641791044776,0.0964179104477612,-0.02850746268656716,343003
11.156029411764706,0.4219117647058824,0.08941176470588236,-0.005441176470588235,343251
11.713088235294117,0.4475,0.08558823529411765,-0.0225,343502
10.960746268656717,0.4540298507462686,0.09477611940298508,-0.025970149253731343,343753
10.108235294117648,0.4238235294117647,0.10500000000000001,-0.01632352941176471,344000
9.973823529411765,0.4420588235294117,0.11058823529411764,-0.019558823529411767,344252
10.882835820895522,0.44,0.09746268656716418,-0.015074626865671643,344503
11.103088235294118,0.44058823529411767,0.09279411764705883,-0.016323529411764705,344750
10.665441176470589,0.44323529411764706,0.09852941176470588,-0.01926470588235294,345001
9.74865671641791,0.4408955223880597,0.11328358208955223,-0.018208955223880597,345253
10.593970588235294,0.4375,0.09955882352941177,-0.015147058823529413,345500
10.105,0.44544117647058823,0.10985294117647058,-0.019705882352941177,345751
10.651791044776118,0.4337313432835821,0.09970149253731343,-0.012835820895522388,346003
11.995,0.42867647058823527,0.08102941176470588,-0.008970588235294117,346250
11.693382352941176,0.45735294117647063,0.09014705882352941,-0.030882352941176472,346501
9.828507462686566,0.44223880597014925,0.1126865671641791,-0.01626865671641791,346752
12.108088235294119,0.4261764705882353,0.08323529411764706,-0.0008823529411764707,347000
10.623088235294118,0.4523529411764706,0.10102941176470588,-0.03397058823529412,347251
9.772388059701493,0.4301492537313433,0.10865671641791046,-0.016716417910447763,347502
10.021911764705882,0.43764705882352944,0.11,-0.01735294117647059,347750
10.661323529411765,0.44029411764705884,0.09794117647058824,-0.015441176470588236,348001
10.481940298507462,0.43955223880597016,0.1008955223880597,-0.017761194029850744,348253
10.071176470588236,0.44382352941176473,0.10720588235294118,-0.020147058823529414,348500
10.864117647058823,0.4364705882352941,0.09397058823529413,-0.015588235294117648,348751
10.639253731343285,0.4292537313432836,0.09805970149253732,-0.01567164179104478,349002
10.230441176470588,0.45088235294117646,0.10823529411764707,-0.024558823529411765,349250
10.741323529411764,0.4389705882352941,0.0986764705882353,-0.014411764705882353,349501
10.723880597014926,0.4550746268656716,0.1017910447761194,-0.019253731343283582,349752
10.217058823529412,0.4391176470588235,0.10955882352941176,-0.011029411764705883,350000
6.338823529411765,0.43176470588235294,0.4919117647058824,-0.0825,350251
1.8111940298507463,0.26,0.8998507462686567,-0.021044776119402985,350502
1.803970588235294,0.26,0.9,-0.02,350750
1.8094117647058825,0.26,0.9,-0.02,351001
1.81,0.26,0.9,-0.02,351252
1.8100000000000003,0.26,0.9,-0.02,351500
